From,To,Weight,Level,Method,IsRootedBranching
2184.76,219.56,1,24,networkx_arborescence,True
30.07,30.09,1,24,networkx_arborescence,True
34.18,25.63,1,24,networkx_arborescence,True
40.41,22.15,1,24,networkx_arborescence,True
6.39,5.5,1,24,networkx_arborescence,True
1902.37,2755.31,1,25,networkx_arborescence,True
219.56,227.55,1,25,networkx_arborescence,True
22.15,38.35,1,25,networkx_arborescence,True
25.63,15.1,1,25,networkx_arborescence,True
30.09,5.48,1,25,networkx_arborescence,True
3955.96,108.62,1,25,networkx_arborescence,True
5.5,29.76,1,25,networkx_arborescence,True
695.3,846.23,1,25,networkx_arborescence,True
108.62,2652.09,1,26,networkx_arborescence,True
15.1,29.72,1,26,networkx_arborescence,True
227.55,3650.99,1,26,networkx_arborescence,True
2755.31,468.45,1,26,networkx_arborescence,True
29.76,5.11,1,26,networkx_arborescence,True
38.35,15.98,1,26,networkx_arborescence,True
5.48,7.54,1,26,networkx_arborescence,True
846.23,1171.7,1,26,networkx_arborescence,True
1171.7,307.64,1,27,networkx_arborescence,True
15.98,36.82,1,27,networkx_arborescence,True
2652.09,3645.41,1,27,networkx_arborescence,True
29.72,5.25,1,27,networkx_arborescence,True
3650.99,342.49,1,27,networkx_arborescence,True
468.45,103.69,1,27,networkx_arborescence,True
5.11,30.31,1,27,networkx_arborescence,True
5.11,5.04,1,27,networkx_arborescence,True
7.54,23.51,1,27,networkx_arborescence,True
103.69,1490.18,1,28,networkx_arborescence,True
23.51,35.51,1,28,networkx_arborescence,True
30.31,12.94,1,28,networkx_arborescence,True
307.64,1103.17,1,28,networkx_arborescence,True
342.49,141.34,1,28,networkx_arborescence,True
36.82,6.68,1,28,networkx_arborescence,True
3645.41,1501.44,1,28,networkx_arborescence,True
5.04,25.19,1,28,networkx_arborescence,True
5.25,7.4,1,28,networkx_arborescence,True
1103.17,3067.53,1,29,networkx_arborescence,True
12.94,43.42,1,29,networkx_arborescence,True
141.34,418.66,1,29,networkx_arborescence,True
1490.18,1518.29,1,29,networkx_arborescence,True
1501.44,566.47,1,29,networkx_arborescence,True
25.19,43.97,1,29,networkx_arborescence,True
35.51,28.01,1,29,networkx_arborescence,True
6.68,7.42,1,29,networkx_arborescence,True
6.68,8.85,1,29,networkx_arborescence,True
7.4,32.23,1,29,networkx_arborescence,True
1518.29,3569.24,1,30,networkx_arborescence,True
28.01,23.91,1,30,networkx_arborescence,True
3067.53,310.81,1,30,networkx_arborescence,True
32.23,2.75,1,30,networkx_arborescence,True
418.66,676.78,1,30,networkx_arborescence,True
43.42,4.82,1,30,networkx_arborescence,True
43.97,30.74,1,30,networkx_arborescence,True
566.47,2396.73,1,30,networkx_arborescence,True
7.42,33.79,1,30,networkx_arborescence,True
8.85,38.81,1,30,networkx_arborescence,True
2.75,31.72,1,31,networkx_arborescence,True
23.91,7.77,1,31,networkx_arborescence,True
2396.73,1524.49,1,31,networkx_arborescence,True
30.74,16.27,1,31,networkx_arborescence,True
