From,To,Weight,Level,Method
34.18,25.63,1,79,ramex_forward_heuristic
5.12,14.41,1,79,ramex_forward_heuristic
8.25,4.36,1,79,ramex_forward_heuristic
14.41,8.4,1,80,ramex_forward_heuristic
25.63,15.1,1,80,ramex_forward_heuristic
36.57,9.02,1,80,ramex_forward_heuristic
4.36,4.7,1,80,ramex_forward_heuristic
15.1,29.72,1,81,ramex_forward_heuristic
4.7,31.82,1,81,ramex_forward_heuristic
8.4,31.75,1,81,ramex_forward_heuristic
9.02,4.6,1,81,ramex_forward_heuristic
29.72,5.25,1,82,ramex_forward_heuristic
31.75,15.05,1,82,ramex_forward_heuristic
31.82,22.41,1,82,ramex_forward_heuristic
4.6,4.18,1,82,ramex_forward_heuristic
15.05,25.69,1,83,ramex_forward_heuristic
4.18,7.3,1,83,ramex_forward_heuristic
5.25,7.4,1,83,ramex_forward_heuristic
25.69,21.85,1,84,ramex_forward_heuristic
7.3,31.09,1,84,ramex_forward_heuristic
7.4,32.23,1,84,ramex_forward_heuristic
21.85,13.4,1,85,ramex_forward_heuristic
32.23,2.75,1,85,ramex_forward_heuristic
2.75,31.72,1,86,ramex_forward_heuristic
31.72,35.96,1,87,ramex_forward_heuristic
35.96,1.62,1,88,ramex_forward_heuristic
1.62,6.56,1,89,ramex_forward_heuristic
6.56,3.05,1,90,ramex_forward_heuristic
3.05,12.91,1,91,ramex_forward_heuristic
3.05,9.15,1,91,ramex_forward_heuristic
12.91,6.39,1,92,ramex_forward_heuristic
9.15,40.41,1,92,ramex_forward_heuristic
40.41,22.15,1,93,ramex_forward_heuristic
6.39,5.5,1,93,ramex_forward_heuristic
22.15,38.35,1,94,ramex_forward_heuristic
5.5,29.76,1,94,ramex_forward_heuristic
29.76,5.11,1,95,ramex_forward_heuristic
38.35,15.98,1,95,ramex_forward_heuristic
15.98,36.82,1,96,ramex_forward_heuristic
5.11,30.31,1,96,ramex_forward_heuristic
5.11,5.04,1,96,ramex_forward_heuristic
30.31,12.94,1,97,ramex_forward_heuristic
36.82,6.68,1,97,ramex_forward_heuristic
5.04,25.19,1,97,ramex_forward_heuristic
12.94,43.42,1,98,ramex_forward_heuristic
25.19,43.97,1,98,ramex_forward_heuristic
6.68,7.42,1,98,ramex_forward_heuristic
6.68,8.85,1,98,ramex_forward_heuristic
43.42,4.82,1,99,ramex_forward_heuristic
43.97,30.74,1,99,ramex_forward_heuristic
7.42,33.79,1,99,ramex_forward_heuristic
8.85,38.81,1,99,ramex_forward_heuristic
30.74,16.27,1,100,ramex_forward_heuristic
33.79,40.05,1,100,ramex_forward_heuristic
38.81,7.11,1,100,ramex_forward_heuristic
4.82,25.96,1,100,ramex_forward_heuristic
16.27,35.89,1,101,ramex_forward_heuristic
40.05,28.0,1,101,ramex_forward_heuristic
40.05,4.55,1,101,ramex_forward_heuristic
7.11,23.13,1,101,ramex_forward_heuristic
7.11,9.48,1,101,ramex_forward_heuristic
23.13,8.86,1,102,ramex_forward_heuristic
28.0,4.57,1,102,ramex_forward_heuristic
35.89,36.76,1,102,ramex_forward_heuristic
4.55,3.44,1,102,ramex_forward_heuristic
3.44,20.04,1,103,ramex_forward_heuristic
3.44,3.36,1,103,ramex_forward_heuristic
36.76,42.08,1,103,ramex_forward_heuristic
8.86,8.93,1,103,ramex_forward_heuristic
20.04,14.66,1,104,ramex_forward_heuristic
42.08,13.3,1,104,ramex_forward_heuristic
8.93,1.53,1,104,ramex_forward_heuristic
1.53,7.48,1,105,ramex_forward_heuristic
13.3,6.05,1,105,ramex_forward_heuristic
6.05,29.75,1,106,ramex_forward_heuristic
7.48,3.63,1,106,ramex_forward_heuristic
29.75,3.12,1,107,ramex_forward_heuristic
3.63,2.48,1,107,ramex_forward_heuristic
2.48,38.21,1,108,ramex_forward_heuristic
3.12,27.06,1,108,ramex_forward_heuristic
27.06,16.16,1,109,ramex_forward_heuristic
38.21,1.41,1,109,ramex_forward_heuristic
1.41,4.52,1,110,ramex_forward_heuristic
16.16,11.32,1,110,ramex_forward_heuristic
11.32,18.41,1,111,ramex_forward_heuristic
4.52,3.2,1,111,ramex_forward_heuristic
18.41,15.48,1,112,ramex_forward_heuristic
3.2,34.78,1,112,ramex_forward_heuristic
15.48,5.14,1,113,ramex_forward_heuristic
34.78,7.01,1,113,ramex_forward_heuristic
5.14,15.06,1,114,ramex_forward_heuristic
7.01,1.83,1,114,ramex_forward_heuristic
1.83,7.89,1,115,ramex_forward_heuristic
15.06,12.31,1,115,ramex_forward_heuristic
12.31,15.95,1,116,ramex_forward_heuristic
15.95,23.24,1,117,ramex_forward_heuristic
23.24,43.16,1,118,ramex_forward_heuristic
43.16,17.42,1,119,ramex_forward_heuristic
17.42,8.18,1,120,ramex_forward_heuristic
8.18,39.65,1,121,ramex_forward_heuristic
