From,To,Weight,Level,Direction,Method
8.97,19.2,1,63,BACKWARD,ramex_back_forward_polytree_formal
46.06,8.97,1,64,BACKWARD,ramex_back_forward_polytree_formal
11.35,46.06,1,65,BACKWARD,ramex_back_forward_polytree_formal
47.2,11.35,1,66,BACKWARD,ramex_back_forward_polytree_formal
6.92,47.2,1,67,BACKWARD,ramex_back_forward_polytree_formal
9.08,2.16,1,74,BACKWARD,ramex_back_forward_polytree_formal
12.48,9.08,1,75,BACKWARD,ramex_back_forward_polytree_formal
23.34,12.48,1,76,BACKWARD,ramex_back_forward_polytree_formal
13.07,23.34,1,77,BACKWARD,ramex_back_forward_polytree_formal
12.33,13.07,1,78,BACKWARD,ramex_back_forward_polytree_formal
4.73,12.33,1,79,BACKWARD,ramex_back_forward_polytree_formal
6.49,4.73,1,80,BACKWARD,ramex_back_forward_polytree_formal
6.38,6.49,1,81,BACKWARD,ramex_back_forward_polytree_formal
44.54,6.38,1,82,BACKWARD,ramex_back_forward_polytree_formal
12.16,44.54,1,83,BACKWARD,ramex_back_forward_polytree_formal
5.19,12.16,1,84,BACKWARD,ramex_back_forward_polytree_formal
29.92,5.19,1,85,BACKWARD,ramex_back_forward_polytree_formal
7.23,29.92,1,86,BACKWARD,ramex_back_forward_polytree_formal
29.62,7.23,1,87,BACKWARD,ramex_back_forward_polytree_formal
29.5,29.62,1,88,BACKWARD,ramex_back_forward_polytree_formal
13.08,29.5,1,89,BACKWARD,ramex_back_forward_polytree_formal
44.75,13.08,1,90,BACKWARD,ramex_back_forward_polytree_formal
3.71,44.75,1,91,BACKWARD,ramex_back_forward_polytree_formal
1.69,3.71,1,92,BACKWARD,ramex_back_forward_polytree_formal
3.15,1.69,1,93,BACKWARD,ramex_back_forward_polytree_formal
4.56,3.15,1,94,BACKWARD,ramex_back_forward_polytree_formal
5.57,4.56,1,95,BACKWARD,ramex_back_forward_polytree_formal
20.25,5.57,1,96,BACKWARD,ramex_back_forward_polytree_formal
13.85,20.25,1,97,BACKWARD,ramex_back_forward_polytree_formal
10.86,13.85,1,98,BACKWARD,ramex_back_forward_polytree_formal
16.94,10.86,1,99,BACKWARD,ramex_back_forward_polytree_formal
30.73,16.94,1,100,BACKWARD,ramex_back_forward_polytree_formal
11.59,30.73,1,101,BACKWARD,ramex_back_forward_polytree_formal
23.1,11.59,1,102,BACKWARD,ramex_back_forward_polytree_formal
33.78,23.1,1,103,BACKWARD,ramex_back_forward_polytree_formal
4.66,30.73,1,101,BACKWARD,ramex_back_forward_polytree_formal
19.89,4.66,1,102,BACKWARD,ramex_back_forward_polytree_formal
17.26,19.89,1,103,BACKWARD,ramex_back_forward_polytree_formal
19.35,17.26,1,104,BACKWARD,ramex_back_forward_polytree_formal
30.94,19.35,1,105,BACKWARD,ramex_back_forward_polytree_formal
4.61,30.94,1,106,BACKWARD,ramex_back_forward_polytree_formal
6.82,33.78,1,104,BACKWARD,ramex_back_forward_polytree_formal
31.92,6.82,1,105,BACKWARD,ramex_back_forward_polytree_formal
6.86,31.92,1,106,BACKWARD,ramex_back_forward_polytree_formal
7.86,19.89,1,103,BACKWARD,ramex_back_forward_polytree_formal
10.09,7.86,1,104,BACKWARD,ramex_back_forward_polytree_formal
45.96,10.09,1,105,BACKWARD,ramex_back_forward_polytree_formal
29.96,45.96,1,106,BACKWARD,ramex_back_forward_polytree_formal
6.13,29.96,1,107,BACKWARD,ramex_back_forward_polytree_formal
6.99,6.13,1,108,BACKWARD,ramex_back_forward_polytree_formal
15.2,6.99,1,109,BACKWARD,ramex_back_forward_polytree_formal
14.66,15.2,1,110,BACKWARD,ramex_back_forward_polytree_formal
20.04,14.66,1,111,BACKWARD,ramex_back_forward_polytree_formal
31.09,15.2,1,110,BACKWARD,ramex_back_forward_polytree_formal
7.3,31.09,1,111,BACKWARD,ramex_back_forward_polytree_formal
4.18,7.3,1,112,BACKWARD,ramex_back_forward_polytree_formal
4.6,4.18,1,113,BACKWARD,ramex_back_forward_polytree_formal
7.89,6.86,1,107,BACKWARD,ramex_back_forward_polytree_formal
1.83,7.89,1,108,BACKWARD,ramex_back_forward_polytree_formal
7.01,1.83,1,109,BACKWARD,ramex_back_forward_polytree_formal
34.78,7.01,1,110,BACKWARD,ramex_back_forward_polytree_formal
3.2,34.78,1,111,BACKWARD,ramex_back_forward_polytree_formal
4.52,3.2,1,112,BACKWARD,ramex_back_forward_polytree_formal
1.41,4.52,1,113,BACKWARD,ramex_back_forward_polytree_formal
38.21,1.41,1,114,BACKWARD,ramex_back_forward_polytree_formal
2.48,38.21,1,115,BACKWARD,ramex_back_forward_polytree_formal
3.63,2.48,1,116,BACKWARD,ramex_back_forward_polytree_formal
7.48,3.63,1,117,BACKWARD,ramex_back_forward_polytree_formal
1.53,7.48,1,118,BACKWARD,ramex_back_forward_polytree_formal
7.96,6.86,1,107,BACKWARD,ramex_back_forward_polytree_formal
5.29,7.96,1,108,BACKWARD,ramex_back_forward_polytree_formal
18.09,5.29,1,109,BACKWARD,ramex_back_forward_polytree_formal
7.05,18.09,1,110,BACKWARD,ramex_back_forward_polytree_formal
16.37,7.05,1,111,BACKWARD,ramex_back_forward_polytree_formal
8.23,16.37,1,112,BACKWARD,ramex_back_forward_polytree_formal
7.77,8.23,1,113,BACKWARD,ramex_back_forward_polytree_formal
23.91,7.77,1,114,BACKWARD,ramex_back_forward_polytree_formal
28.01,23.91,1,115,BACKWARD,ramex_back_forward_polytree_formal
35.51,28.01,1,116,BACKWARD,ramex_back_forward_polytree_formal
23.51,35.51,1,117,BACKWARD,ramex_back_forward_polytree_formal
7.54,23.51,1,118,BACKWARD,ramex_back_forward_polytree_formal
5.48,7.54,1,119,BACKWARD,ramex_back_forward_polytree_formal
30.09,5.48,1,120,BACKWARD,ramex_back_forward_polytree_formal
30.07,30.09,1,121,BACKWARD,ramex_back_forward_polytree_formal
12.57,30.07,1,122,BACKWARD,ramex_back_forward_polytree_formal
29.68,12.57,1,123,BACKWARD,ramex_back_forward_polytree_formal
34.16,29.68,1,124,BACKWARD,ramex_back_forward_polytree_formal
41.75,34.16,1,125,BACKWARD,ramex_back_forward_polytree_formal
25.85,41.75,1,126,BACKWARD,ramex_back_forward_polytree_formal
3.34,25.85,1,127,BACKWARD,ramex_back_forward_polytree_formal
15.99,3.34,1,128,BACKWARD,ramex_back_forward_polytree_formal
7.87,15.99,1,129,BACKWARD,ramex_back_forward_polytree_formal
2.45,7.87,1,130,BACKWARD,ramex_back_forward_polytree_formal
13.54,2.45,1,131,BACKWARD,ramex_back_forward_polytree_formal
13.8,13.54,1,132,BACKWARD,ramex_back_forward_polytree_formal
8.7,13.8,1,133,BACKWARD,ramex_back_forward_polytree_formal
35.48,8.7,1,134,BACKWARD,ramex_back_forward_polytree_formal
17.94,35.48,1,135,BACKWARD,ramex_back_forward_polytree_formal
31.48,17.94,1,136,BACKWARD,ramex_back_forward_polytree_formal
18.07,31.48,1,137,BACKWARD,ramex_back_forward_polytree_formal
1.57,18.07,1,138,BACKWARD,ramex_back_forward_polytree_formal
21.73,1.57,1,139,BACKWARD,ramex_back_forward_polytree_formal
10.83,21.73,1,140,BACKWARD,ramex_back_forward_polytree_formal
40.63,10.83,1,141,BACKWARD,ramex_back_forward_polytree_formal
14.52,40.63,1,142,BACKWARD,ramex_back_forward_polytree_formal
11.39,14.52,1,143,BACKWARD,ramex_back_forward_polytree_formal
8.93,1.53,1,119,BACKWARD,ramex_back_forward_polytree_formal
8.86,8.93,1,120,BACKWARD,ramex_back_forward_polytree_formal
23.13,8.86,1,121,BACKWARD,ramex_back_forward_polytree_formal
7.11,23.13,1,122,BACKWARD,ramex_back_forward_polytree_formal
22.41,7.11,1,123,BACKWARD,ramex_back_forward_polytree_formal
31.82,22.41,1,124,BACKWARD,ramex_back_forward_polytree_formal
38.81,7.11,1,123,BACKWARD,ramex_back_forward_polytree_formal
4.7,31.82,1,125,BACKWARD,ramex_back_forward_polytree_formal
4.36,4.7,1,126,BACKWARD,ramex_back_forward_polytree_formal
8.25,4.36,1,127,BACKWARD,ramex_back_forward_polytree_formal
33.19,8.25,1,128,BACKWARD,ramex_back_forward_polytree_formal
18.69,33.19,1,129,BACKWARD,ramex_back_forward_polytree_formal
38.97,18.69,1,130,BACKWARD,ramex_back_forward_polytree_formal
26.09,38.97,1,131,BACKWARD,ramex_back_forward_polytree_formal
16.77,26.09,1,132,BACKWARD,ramex_back_forward_polytree_formal
17.63,16.77,1,133,BACKWARD,ramex_back_forward_polytree_formal
8.85,38.81,1,124,BACKWARD,ramex_back_forward_polytree_formal
9.02,4.6,1,114,BACKWARD,ramex_back_forward_polytree_formal
36.57,9.02,1,115,BACKWARD,ramex_back_forward_polytree_formal
25.66,36.57,1,116,BACKWARD,ramex_back_forward_polytree_formal
41.2,25.66,1,117,BACKWARD,ramex_back_forward_polytree_formal
35.0,41.2,1,118,BACKWARD,ramex_back_forward_polytree_formal
