From,To,Weight,Level,ParentPath,Score,Strategy,Reason
78,141,9,4,150 -> 132 -> 72 -> 78,0.30793938262204884,multiobjective,mantida por diversidade estrutural
78,47,8,4,150 -> 132 -> 72 -> 78,0.28803365997380775,multiobjective,mantida por diversidade estrutural
160,135,9,4,150 -> 132 -> 72 -> 160,0.31167696389249117,multiobjective,mantida por diversidade estrutural
160,16,8,4,150 -> 132 -> 72 -> 160,0.2876101631906319,multiobjective,mantida por diversidade estrutural
160,70,8,4,150 -> 132 -> 72 -> 160,0.2860950116754803,multiobjective,mantida por diversidade estrutural
7,184,10,4,150 -> 132 -> 72 -> 7,0.3314656875694268,multiobjective,mantida por diversidade estrutural
7,172,9,4,150 -> 132 -> 72 -> 7,0.31081911881248414,multiobjective,mantida por diversidade estrutural
7,163,9,4,150 -> 132 -> 72 -> 7,0.31006154305490835,multiobjective,mantida por diversidade estrutural
168,179,11,4,150 -> 132 -> 109 -> 168,0.3557968942979946,multiobjective,mantida por diversidade estrutural
168,155,9,4,150 -> 132 -> 109 -> 168,0.31151450645123563,multiobjective,mantida por diversidade estrutural
168,66,9,4,150 -> 132 -> 109 -> 168,0.3078825991428577,multiobjective,mantida por diversidade estrutural
37,85,8,4,150 -> 132 -> 109 -> 37,0.2876222179675381,multiobjective,mantida por diversidade estrutural
37,106,8,4,150 -> 132 -> 109 -> 37,0.28714602749134766,multiobjective,mantida por diversidade estrutural
37,195,8,4,150 -> 132 -> 109 -> 37,0.28714602749134766,multiobjective,mantida por diversidade estrutural
200,147,7,4,150 -> 132 -> 109 -> 200,0.26388083886506114,multiobjective,mantida por diversidade estrutural
200,34,7,4,150 -> 132 -> 109 -> 200,0.26388083886506114,multiobjective,mantida por diversidade estrutural
200,124,7,4,150 -> 132 -> 109 -> 200,0.2631232631074854,multiobjective,mantida por diversidade estrutural
194,122,12,4,150 -> 132 -> 189 -> 194,0.38251882775969337,multiobjective,mantida por diversidade estrutural
194,1,9,4,150 -> 132 -> 189 -> 194,0.31187120517685446,multiobjective,mantida por diversidade estrutural
194,177,9,4,150 -> 132 -> 189 -> 194,0.309977265782915,multiobjective,mantida por diversidade estrutural
195,122,9,4,150 -> 132 -> 189 -> 195,0.31095273369082593,multiobjective,mantida por diversidade estrutural
195,133,9,4,150 -> 132 -> 189 -> 195,0.3095571994005548,multiobjective,mantida por diversidade estrutural
195,64,8,4,150 -> 132 -> 189 -> 195,0.28703064189140226,multiobjective,mantida por diversidade estrutural
108,8,10,4,150 -> 132 -> 189 -> 108,0.3361125776694923,multiobjective,mantida por diversidade estrutural
108,99,10,4,150 -> 132 -> 189 -> 108,0.33308227463918927,multiobjective,mantida por diversidade estrutural
108,15,10,4,150 -> 132 -> 189 -> 108,0.33293658699350165,multiobjective,mantida por diversidade estrutural
28,35,8,5,150 -> 185 -> 131 -> 89 -> 28,0.3088373805421898,multiobjective,mantida por diversidade estrutural
28,81,8,5,150 -> 185 -> 131 -> 89 -> 28,0.3065267744815837,multiobjective,mantida por diversidade estrutural
28,9,8,5,150 -> 185 -> 131 -> 89 -> 28,0.30387525933006854,multiobjective,mantida por diversidade estrutural
74,40,11,5,150 -> 185 -> 131 -> 89 -> 74,0.3587300076093691,multiobjective,mantida por diversidade estrutural
74,23,11,5,150 -> 185 -> 131 -> 89 -> 74,0.3572148560942176,multiobjective,mantida por diversidade estrutural
74,182,8,5,150 -> 185 -> 131 -> 89 -> 74,0.2876507493357395,multiobjective,mantida por diversidade estrutural
129,159,11,5,150 -> 185 -> 131 -> 89 -> 129,0.35689269169638904,multiobjective,mantida por diversidade estrutural
129,76,10,5,150 -> 185 -> 131 -> 89 -> 129,0.33587876865485716,multiobjective,mantida por diversidade estrutural
129,67,9,5,150 -> 185 -> 131 -> 89 -> 129,0.3110408917893715,multiobjective,mantida por diversidade estrutural
2,69,8,5,150 -> 185 -> 131 -> 177 -> 2,0.28810994926279154,multiobjective,mantida por diversidade estrutural
2,72,8,5,150 -> 185 -> 131 -> 177 -> 2,0.2881011402423546,multiobjective,mantida por diversidade estrutural
