From,To,Weight,Level,Method,IsRootedBranching
4,1826,1,3,networkx_arborescence,True
4,224830,1,3,networkx_arborescence,True
4,2367,1,3,networkx_arborescence,True
4,27130,1,3,networkx_arborescence,True
4,32921,1,3,networkx_arborescence,True
4,3350,1,3,networkx_arborescence,True
4,3352,1,3,networkx_arborescence,True
4,3361,1,3,networkx_arborescence,True
4,337,1,3,networkx_arborescence,True
4,3621,1,3,networkx_arborescence,True
4,45,1,3,networkx_arborescence,True
4,7074,1,3,networkx_arborescence,True
4,799,1,3,networkx_arborescence,True
4,9981,1,3,networkx_arborescence,True
40,289,1,3,networkx_arborescence,True
5,1022,1,3,networkx_arborescence,True
5,118897,1,3,networkx_arborescence,True
5,137,1,3,networkx_arborescence,True
5,1409,1,3,networkx_arborescence,True
5,1488,1,3,networkx_arborescence,True
5,1504,1,3,networkx_arborescence,True
5,187,1,3,networkx_arborescence,True
5,2487,1,3,networkx_arborescence,True
5,2770,1,3,networkx_arborescence,True
5,2807,1,3,networkx_arborescence,True
5,3019,1,3,networkx_arborescence,True
5,302,1,3,networkx_arborescence,True
5,567,1,3,networkx_arborescence,True
5,831,1,3,networkx_arborescence,True
5,8604,1,3,networkx_arborescence,True
5,942,1,3,networkx_arborescence,True
5,99,1,3,networkx_arborescence,True
6,143733,1,3,networkx_arborescence,True
6,1501,1,3,networkx_arborescence,True
6,2179,1,3,networkx_arborescence,True
6,2223,1,3,networkx_arborescence,True
6,284,1,3,networkx_arborescence,True
6,2842,1,3,networkx_arborescence,True
6,29206,1,3,networkx_arborescence,True
6,2933,1,3,networkx_arborescence,True
6,2970,1,3,networkx_arborescence,True
6,30577,1,3,networkx_arborescence,True
6,3225,1,3,networkx_arborescence,True
6,372,1,3,networkx_arborescence,True
6,3786,1,3,networkx_arborescence,True
6,4601,1,3,networkx_arborescence,True
6,5016,1,3,networkx_arborescence,True
6,6575,1,3,networkx_arborescence,True
6,9533,1,3,networkx_arborescence,True
7,1566,1,3,networkx_arborescence,True
7,177487,1,3,networkx_arborescence,True
7,2024,1,3,networkx_arborescence,True
7,2037,1,3,networkx_arborescence,True
7,21398,1,3,networkx_arborescence,True
7,2581,1,3,networkx_arborescence,True
7,27,1,3,networkx_arborescence,True
7,28117,1,3,networkx_arborescence,True
7,327,1,3,networkx_arborescence,True
7,3342,1,3,networkx_arborescence,True
7,36781,1,3,networkx_arborescence,True
7,550,1,3,networkx_arborescence,True
7,6317,1,3,networkx_arborescence,True
7,641,1,3,networkx_arborescence,True
7,741,1,3,networkx_arborescence,True
7,8437,1,3,networkx_arborescence,True
7,9541,1,3,networkx_arborescence,True
8,1021,1,3,networkx_arborescence,True
8,1256,1,3,networkx_arborescence,True
8,1391,1,3,networkx_arborescence,True
8,144,1,3,networkx_arborescence,True
8,1497,1,3,networkx_arborescence,True
8,2442,1,3,networkx_arborescence,True
8,329097,1,3,networkx_arborescence,True
8,4026,1,3,networkx_arborescence,True
8,429,1,3,networkx_arborescence,True
8,4433,1,3,networkx_arborescence,True
8,4718,1,3,networkx_arborescence,True
8,6562,1,3,networkx_arborescence,True
8,676,1,3,networkx_arborescence,True
8,729,1,3,networkx_arborescence,True
8,8095,1,3,networkx_arborescence,True
8,888,1,3,networkx_arborescence,True
9,1172,1,3,networkx_arborescence,True
9,1231,1,3,networkx_arborescence,True
9,1346,1,3,networkx_arborescence,True
9,1470,1,3,networkx_arborescence,True
9,19,1,3,networkx_arborescence,True
9,201,1,3,networkx_arborescence,True
9,2450,1,3,networkx_arborescence,True
9,3100,1,3,networkx_arborescence,True
9,3257,1,3,networkx_arborescence,True
9,3747,1,3,networkx_arborescence,True
9,4816,1,3,networkx_arborescence,True
9,5536,1,3,networkx_arborescence,True
9,66,1,3,networkx_arborescence,True
9,7293,1,3,networkx_arborescence,True
9,7399,1,3,networkx_arborescence,True
9,7672,1,3,networkx_arborescence,True
9,80554,1,3,networkx_arborescence,True
