From,To,Weight,Level,Method
5,137,1,2,ramex_forward_heuristic
5,1409,1,2,ramex_forward_heuristic
5,1488,1,2,ramex_forward_heuristic
5,1504,1,2,ramex_forward_heuristic
5,187,1,2,ramex_forward_heuristic
5,2487,1,2,ramex_forward_heuristic
5,2770,1,2,ramex_forward_heuristic
5,3019,1,2,ramex_forward_heuristic
5,567,1,2,ramex_forward_heuristic
5,831,1,2,ramex_forward_heuristic
5,8604,1,2,ramex_forward_heuristic
5,942,1,2,ramex_forward_heuristic
5,99,1,2,ramex_forward_heuristic
6,143733,1,2,ramex_forward_heuristic
6,1501,1,2,ramex_forward_heuristic
6,2179,1,2,ramex_forward_heuristic
6,2223,1,2,ramex_forward_heuristic
6,284,1,2,ramex_forward_heuristic
6,2842,1,2,ramex_forward_heuristic
6,29206,1,2,ramex_forward_heuristic
6,2933,1,2,ramex_forward_heuristic
6,2970,1,2,ramex_forward_heuristic
6,30577,1,2,ramex_forward_heuristic
6,3225,1,2,ramex_forward_heuristic
6,372,1,2,ramex_forward_heuristic
6,3786,1,2,ramex_forward_heuristic
6,4601,1,2,ramex_forward_heuristic
6,5016,1,2,ramex_forward_heuristic
6,6575,1,2,ramex_forward_heuristic
6,9533,1,2,ramex_forward_heuristic
7,1566,1,2,ramex_forward_heuristic
7,177487,1,2,ramex_forward_heuristic
7,2024,1,2,ramex_forward_heuristic
7,2037,1,2,ramex_forward_heuristic
7,21398,1,2,ramex_forward_heuristic
7,2581,1,2,ramex_forward_heuristic
7,27,1,2,ramex_forward_heuristic
7,28117,1,2,ramex_forward_heuristic
7,327,1,2,ramex_forward_heuristic
7,3342,1,2,ramex_forward_heuristic
7,36781,1,2,ramex_forward_heuristic
7,550,1,2,ramex_forward_heuristic
7,6317,1,2,ramex_forward_heuristic
7,641,1,2,ramex_forward_heuristic
7,741,1,2,ramex_forward_heuristic
7,8437,1,2,ramex_forward_heuristic
7,9541,1,2,ramex_forward_heuristic
8,1021,1,2,ramex_forward_heuristic
8,1256,1,2,ramex_forward_heuristic
8,1391,1,2,ramex_forward_heuristic
8,144,1,2,ramex_forward_heuristic
8,1497,1,2,ramex_forward_heuristic
8,2442,1,2,ramex_forward_heuristic
8,329097,1,2,ramex_forward_heuristic
8,4026,1,2,ramex_forward_heuristic
8,429,1,2,ramex_forward_heuristic
8,4433,1,2,ramex_forward_heuristic
8,4718,1,2,ramex_forward_heuristic
8,6562,1,2,ramex_forward_heuristic
8,676,1,2,ramex_forward_heuristic
8,729,1,2,ramex_forward_heuristic
8,8095,1,2,ramex_forward_heuristic
8,888,1,2,ramex_forward_heuristic
9,1172,1,2,ramex_forward_heuristic
9,1231,1,2,ramex_forward_heuristic
9,1346,1,2,ramex_forward_heuristic
9,1470,1,2,ramex_forward_heuristic
9,19,1,2,ramex_forward_heuristic
9,201,1,2,ramex_forward_heuristic
9,2450,1,2,ramex_forward_heuristic
9,3100,1,2,ramex_forward_heuristic
9,3257,1,2,ramex_forward_heuristic
9,3747,1,2,ramex_forward_heuristic
9,4816,1,2,ramex_forward_heuristic
9,5536,1,2,ramex_forward_heuristic
9,66,1,2,ramex_forward_heuristic
9,7293,1,2,ramex_forward_heuristic
9,7399,1,2,ramex_forward_heuristic
9,7672,1,2,ramex_forward_heuristic
9,80554,1,2,ramex_forward_heuristic
